N,DH39,DH68,DH95,DH99,RH95,RH99,DZ68,DZ95,DZ99,RZ95,RZ99,AREA,A_N_DH39,A_N_DH68,E39,E90,E95,
71,0.0198419693904742,0.033651712238186,0.0829119647559961,0.143034312938533,2.46382603563074,4.25043195205462,0.225964046916315,1.33508510873702,1.66371652909399,5.90839616725162,7.36274886115018,26.4809029042326,18.7970486245661,11.0832536781493,0.51,0.89,0.93,
72,0.0195513620533564,0.0386717756284108,0.0792344755726146,0.119232116324241,2.04889675441755,3.08318183964239,0.210300382526477,0.90369415218012,1.49729413942618,4.29715886068987,7.11978799771167,26.946875001392,19.142510469385,9.67791488017822,0.45,0.89,0.91,
73,0.0233976520839955,0.039520740974779,0.0741856337504547,0.0890451459166116,1.87713165089181,2.25312440304289,0.39411447117666,1.15986346821778,1.51442634854558,2.94296087315676,3.84260528171966,27.4359345928019,16.0629245661115,9.5098095627607,0.38,0.91,0.97,
74,0.0200315356488181,0.0374855188290918,0.0721629175433823,0.103425016982328,1.92508786852853,2.75906590632706,0.333079570157516,1.24435834448462,1.79933912100724,3.73591914957784,5.40212994797704,26.4821301095957,17.8651616818883,9.54679658388272,0.42,0.93,0.97,
75,0.016236444127663,0.0333019303138824,0.089243549898234,0.136822963788702,2.67983114063005,4.10855954892397,0.233254065954255,0.942347900384282,1.68585849022586,4.04000631898563,7.22756314377169,27.2050580577444,22.3407357291108,10.8922847419863,0.53,0.89,0.94,
76,0.0221909751908755,0.0366216409348238,0.0746502965232469,0.111997766641671,2.03842030607267,3.05823998550462,0.318729755429351,0.918795230859177,1.36936314265301,2.8826779276428,4.29631410097994,27.5504257753505,16.3357220306523,9.89867174309316,0.36,0.84,0.93,
77,0.0141565581807046,0.031213940318396,0.0709514584344801,0.0977101193450449,2.27306958720187,3.13033594440043,0.464169362203117,0.98766079072016,1.36013887145966,2.12780263228138,2.93026421434614,27.4278891961837,25.1619319223157,11.4117714573594,0.47,0.91,0.92,
78,0.0112721364490405,0.0343231943949808,0.0700090757454335,0.109636126418261,2.03970163557012,3.19422851954284,0.320624259307148,1.19859425893384,1.4601356282005,3.73831431696385,4.55403977027743,27.1843922598024,30.9185264976377,10.1540038923537,0.44,0.92,0.96,
79,0.0183448253576821,0.0365703749702822,0.0661895312882276,0.0984607619871506,1.80992213894483,2.6923640259954,0.36966395507091,0.888078719203176,1.18933098120826,2.40239468041406,3.21733013157888,26.9764096824065,18.6141614120426,9.33743612312191,0.49,0.86,0.89,
80,0.0149695208129478,0.0321612414308495,0.0815865685734081,0.102315177645956,2.53679786425001,3.18131928663094,0.301326875673203,1.06956666869082,1.57583958740219,3.549522976672,5.22966822617984,26.6558570257658,22.2584421362289,10.3602410229869,0.38,0.9,0.93,
81,0.0164067605960969,0.0349754818738698,0.0731962835908176,0.120979161743207,2.09278842403891,3.45897054912604,0.418686295433075,0.953394167020184,1.26607757428843,2.27710860713515,3.02392886535452,26.8130083827124,20.1761214780601,9.46448131985882,0.46,0.9,0.93,
